GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banca-online,es.deusto.banca_online.services,ClienteService,5,305,6,26,1,65,6,21,0,11
banca-online,es.deusto.banca_online.services,CuentaService,44,339,7,17,7,74,8,22,4,14
banca-online,es.deusto.banca_online.services,TransferService,0,121,1,7,0,24,1,8,0,5
banca-online,es.deusto.banca_online.entity,ETipoTransaccion,0,21,0,0,0,4,0,1,0,1
banca-online,es.deusto.banca_online.entity,Cliente,31,3,0,0,8,2,2,1,2,1
banca-online,es.deusto.banca_online.entity,Usuario,16,0,0,0,3,0,3,0,3,0
banca-online,es.deusto.banca_online.entity,Transaccion,4,0,0,0,2,0,1,0,1,0
banca-online,es.deusto.banca_online.entity,ERol,0,15,0,0,0,3,0,1,0,1
banca-online,es.deusto.banca_online.entity,Cuenta,15,7,0,0,6,3,1,2,1,2
banca-online,es.deusto.banca_online.entity,ETipoCuenta,0,15,0,0,0,2,0,1,0,1
banca-online,es.deusto.banca_online.config,DataInitializer,0,46,0,2,0,14,0,3,0,2
banca-online,es.deusto.banca_online.security,JwtUtils,79,3,0,0,22,1,7,1,7,1
banca-online,es.deusto.banca_online.security,UserDetailsServiceImpl,15,6,0,0,2,3,2,1,2,1
banca-online,es.deusto.banca_online.security,JwtAuthFilter,51,20,9,1,11,8,5,2,0,2
banca-online,es.deusto.banca_online.security,SecurityConfig,0,106,0,0,0,21,0,8,0,8
banca-online,es.deusto.banca_online.controllers,CuentaController,88,111,24,4,24,27,16,7,2,7
banca-online,es.deusto.banca_online.controllers,AuthController,42,12,0,0,11,5,1,1,1,1
banca-online,es.deusto.banca_online.controllers,ClienteController,8,129,4,4,4,39,4,8,0,8
banca-online,es.deusto.banca_online.dto,RetiroRequest,0,17,0,0,0,5,0,5,0,5
banca-online,es.deusto.banca_online.dto,ClienteRequest,0,30,0,0,0,12,0,2,0,2
banca-online,es.deusto.banca_online.dto,DepositoRequest,0,17,0,0,0,7,0,5,0,5
banca-online,es.deusto.banca_online.dto,SaldoResponse,0,6,0,0,0,3,0,1,0,1
banca-online,es.deusto.banca_online.dto,ClienteResponse,3,33,0,0,2,12,1,1,1,1
banca-online,es.deusto.banca_online,BancaOnlineApplication,5,3,0,0,2,1,1,1,1,1
banca-online,es.deusto.banca_online.utils,JwtUtils,3,0,0,0,1,0,1,0,1,0
